length, selection, insertion, merge
10, 45, 34, 22
25, 300, 203, 83
40, 780, 336, 167
55, 1485, 806, 252
70, 2415, 1268, 348
85, 3570, 1895, 449
100, 4950, 2307, 542
115, 6555, 3157, 646
130, 8385, 3885, 753
145, 10440, 5373, 852
160, 12720, 6319, 969
175, 15225, 8114, 1072
190, 17955, 9705, 1199
205, 20910, 10947, 1312
220, 24090, 11983, 1409
235, 27495, 13893, 1560
250, 31125, 15509, 1680
265, 34980, 17226, 1804
280, 39060, 20325, 1921
295, 43365, 22287, 2062
310, 47895, 24480, 2183
325, 52650, 26322, 2295
340, 57630, 27471, 2450
355, 62835, 31003, 2582
370, 68265, 35202, 2700
385, 73920, 35142, 2830
400, 79800, 40253, 2962
415, 85905, 42944, 3102
430, 92235, 44901, 3227
445, 98790, 53460, 3353
460, 105570, 50114, 3495
475, 112575, 58237, 3615
490, 119805, 58688, 3777
505, 127260, 64011, 3912
520, 134940, 62842, 4038
535, 142845, 73515, 4183
550, 150975, 76462, 4300
565, 159330, 82578, 4472
580, 167910, 89342, 4615
595, 176715, 87971, 4769
610, 185745, 95488, 4897
625, 195000, 98652, 5055
640, 204480, 101685, 5180
655, 214185, 102992, 5286
670, 224115, 116945, 5473
685, 234270, 116789, 5648
700, 244650, 119606, 5716
715, 255255, 127864, 5860
730, 266085, 137308, 6047
745, 277140, 136208, 6191
760, 288420, 140266, 6350
775, 299925, 148741, 6471
790, 311655, 162779, 6631
805, 323610, 163469, 6737
820, 335790, 167060, 6899
835, 348195, 181882, 7069
850, 360825, 181182, 7207
865, 373680, 185741, 7385
880, 386760, 197028, 7488
895, 400065, 194707, 7635
910, 413595, 208256, 7784
925, 427350, 211294, 7964
940, 441330, 211289, 8145
955, 455535, 227825, 8275
970, 469965, 231305, 8407
985, 484620, 243584, 8543
1000, 499500, 256222, 8710
1015, 514605, 261568, 8878
1030, 529935, 257055, 9009
1045, 545490, 273890, 9216
1060, 561270, 280808, 9320
1075, 577275, 286953, 9467
1090, 593505, 300507, 9616
1105, 609960, 299765, 9785
1120, 626640, 304852, 9962
1135, 643545, 330144, 10113
1150, 660675, 325463, 10260
1165, 678030, 337927, 10380
1180, 695610, 334536, 10569
1195, 713415, 362634, 10735
1210, 731445, 368088, 10918
1225, 749700, 383011, 10991
1240, 768180, 379751, 11168
